track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,estacion
Under The Influence,Chris Brown,1,2019,10,4,3859,26,929964809,117,A,Minor,73,31,69,6,0,11,4,https://i.scdn.co/image/ab67616d0000b2739a494f7d8909a6cc4ceb74ac,Oto�o
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885,138,G,Minor,78,89,83,10,0,12,5,Not Found,Invierno
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350,104,C#,Major,77,36,63,1,0,36,5,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,Primavera
Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989,164,G#,Major,45,24,62,8,0,16,3,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,Invierno
Sure Thing,Miguel,1,2010,5,25,13801,19,950906471,81,B,Minor,68,51,60,3,0,19,10,https://i.scdn.co/image/ab67616d0000b273d5a8395b0d80b8c48a5d851c,Primavera
Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,22439,19,1593270737,117,C#,Major,82,73,45,54,0,7,3,https://i.scdn.co/image/ab67616d0000b2730408dc279dd7c7354ff41014,Invierno
The Night We Met,Lord Huron,1,2015,2,2,18515,35,1410088830,174,D,Major,45,10,37,97,25,64,4,https://i.scdn.co/image/ab67616d0000b2739d2efe43d5b7ebc7cb60ca81,Invierno
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533,128,C#,Major,73,60,77,3,0,11,4,https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46,Invierno
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,1374581173,150,C#,Minor,65,51,55,73,0,14,3,https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370,Primavera
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466,90,A,Minor,60,13,53,4,0,21,4,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,Primavera
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445,85,F,Major,55,42,53,17,0,22,3,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,Invierno
Demons,Imagine Dragons,1,2012,1,1,26694,13,1840364617,180,D#,Major,33,38,71,20,0,28,5,https://i.scdn.co/image/ab67616d0000b273b2b2747c89d2157b0b29fb6a,Invierno
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16,143573775,166,C#,Major,57,84,94,11,0,37,9,Not Found,Primavera
Reminder,The Weeknd,1,2016,11,25,6518,17,684675814,160,G#,Major,71,40,50,16,0,16,22,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,Oto�o
Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873,160,G,Major,65,95,80,5,0,41,16,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,Invierno
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,1267333350,92,D,Major,70,81,63,4,0,8,4,Not Found,Invierno
Night Changes,One Direction,1,2014,11,17,7124,18,1131090940,120,G#,Major,67,40,52,86,0,12,4,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,Oto�o
Creep,Radiohead,1,1992,9,21,36724,7,1271293243,92,G,Major,53,12,34,1,0,12,4,https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95,Verano
Car's Outside,James Arthur,1,2019,10,18,794,10,265882712,150,A,Major,34,24,56,4,0,11,3,https://i.scdn.co/image/ab67616d0000b273dc16d839ab77c64bdbeb3660,Oto�o
Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,841749534,94,F,Major,37,17,47,2,46,11,3,https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161,Primavera
Cheques,Shubh,1,2023,5,19,67,8,47956378,90,E,Minor,74,36,63,26,0,27,5,https://i.scdn.co/image/ab67616d0000b2731a8c4618eda885a406958dd0,Primavera
Pink + White,Frank Ocean,1,2016,8,20,21574,30,806397070,160,A,Major,54,54,55,67,0,42,11,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,Verano
Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,1641426668,109,F,Major,63,46,85,1,0,9,5,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b,Invierno
Take Me To Church,Hozier,1,2013,9,13,23804,31,2135158446,129,E,Minor,57,41,66,63,0,12,5,https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2,Verano
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268,157,G,Major,54,75,60,30,0,7,5,https://i.scdn.co/image/ab67616d0000b2735f3aef5159749e4b61686670,Oto�o
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,9,2619,12,350381515,130,F#,Major,63,49,73,5,0,9,3,Not Found,Primavera
Titi Me Preguntï¿,Bad Bunny,1,2022,5,6,9037,42,1264310836,107,F,Minor,65,19,72,10,0,13,25,Not Found,Primavera
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206,146,B,Minor,50,67,89,0,0,19,8,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,Verano
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812,139,A,Minor,48,37,41,32,0,10,10,https://i.scdn.co/image/ab67616d0000b273350ab7a839c04bfd5225a9f5,Invierno
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286,95,F#,Minor,84,52,77,12,0,7,4,https://i.scdn.co/image/ab67616d0000b273913ef74e0272d688c512200b,Verano
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735,170,G#,Minor,62,55,80,15,0,37,7,Not Found,Primavera
Ditto,NewJeans,1,2022,12,19,1154,22,397582059,134,F#,Minor,81,18,64,3,0,10,11,https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f,Oto�o
Take On Me,a-ha,1,1984,10,19,44927,17,1479115056,84,F#,Minor,57,86,90,2,0,9,5,https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53,Oto�o
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632,146,B,Minor,61,20,48,21,0,12,6,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,Primavera
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133753727,74,A#,Minor,53,24,67,11,0,10,28,https://i.scdn.co/image/ab67616d0000b273445afb6341d2685b959251cc,Primavera
Acrï¿½ï¿½s,Shakira,1,2023,5,11,955,29,123124076,144,B,Major,75,35,48,84,0,10,12,Not Found,Primavera
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,463564958,136,B,Minor,77,79,73,15,0,27,10,https://i.scdn.co/image/ab67616d0000b273fbf10e7799f39fbcd301e55a,Oto�o
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040,100,E,Major,56,53,55,53,0,12,4,Not Found,Primavera
S-Class,Stray Kids,1,2023,6,2,290,19,65496046,105,F,Minor,89,67,78,9,0,7,33,https://i.scdn.co/image/ab67616d0000b273e27ba26bc14a563bf3d09882,Primavera
Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963,106,F,Major,67,24,78,15,0,30,4,https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0,Primavera
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990,132,D,Major,85,53,68,40,0,9,4,https://i.scdn.co/image/ab67616d0000b273c3bb167f0e78b15e5588c296,Primavera
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975,120,A,Major,78,5,30,21,0,13,5,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,Primavera
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496,155,C#,Major,82,51,39,2,0,9,49,https://i.scdn.co/image/ab67616d0000b2733eecc265c134153c14794aab,Invierno
Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,13,262,5,89933133,129,G#,Major,70,42,43,78,0,11,3,Not Found,Primavera
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139,135,F,Minor,80,85,74,62,0,8,9,Not Found,Oto�o
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,185,3,43522589,98,A#,Minor,73,45,62,28,0,13,13,Not Found,Primavera
FLOWER,JISOO,1,2023,3,31,839,18,232896922,124,A,Minor,84,64,39,3,0,11,4,https://i.scdn.co/image/ab67616d0000b273f35b8a6c03cc633f734bd8ac,Primavera
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,37126685,135,A,Minor,77,28,55,18,0,22,15,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,Primavera
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623,107,D,Major,78,39,53,30,0,11,6,https://i.scdn.co/image/ab67616d0000b273a0aea3805ed6a87aa394c796,Primavera
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353,96,D,Major,54,25,74,14,0,9,11,https://i.scdn.co/image/ab67616d0000b27394e5237ce925531dbb38e75f,Oto�o
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192,123,G#,Major,71,58,70,30,0,32,19,https://i.scdn.co/image/ab67616d0000b27330326b23e30ae93d4d48165b,Oto�o
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772,90,G#,Major,62,7,62,6,0,58,6,https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0,Primavera
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401036314,117,F,Minor,72,45,59,14,0,20,21,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,Oto�o
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613,133,A,Minor,78,90,84,31,0,7,4,Not Found,Primavera
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710,96,G#,Minor,74,61,83,11,0,35,6,https://i.scdn.co/image/ab67616d0000b2737cc7b0d6a82846cd8b158f99,Oto�o
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651,149,G#,Major,66,85,60,40,0,14,13,https://i.scdn.co/image/ab67616d0000b273cdbbe3160616f7c85e2eb2c8,Oto�o
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538,110,F#,Minor,66,32,40,81,0,11,3,Not Found,Primavera
Players,Coi Leray,1,2022,11,30,4096,6,335074782,105,F#,Major,95,62,52,3,0,5,16,https://i.scdn.co/image/ab67616d0000b2731cf7cf4446b496525e423465,Oto�o
Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396,105,C#,Major,80,69,78,28,0,11,14,https://i.scdn.co/image/ab67616d0000b2731d03b5e88cee6870778a4d27,Primavera
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667,134,B,Major,76,61,58,6,0,16,3,https://i.scdn.co/image/ab67616d0000b2736234c2c6d4bb935839ac4719,Primavera
Normal,Feid,1,2022,7,8,2461,36,459276435,170,E,Minor,71,59,56,4,0,27,12,https://i.scdn.co/image/ab67616d0000b273b764865b38a71f70dfd0dbcb,Verano
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245,81,F#,Major,59,26,60,46,1,25,13,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,Primavera
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666,154,F#,Major,63,75,92,31,0,91,5,https://i.scdn.co/image/ab67616d0000b2736ccbcc3358d31dcba6e7c035,Invierno
Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917,169,C#,Major,69,69,51,63,0,38,4,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee,Verano
CUFF IT,Beyoncï¿,1,2022,7,29,7842,10,595900742,115,G,Major,78,64,69,4,0,7,14,Not Found,Verano
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779,84,A,Minor,43,14,74,1,0,19,8,https://i.scdn.co/image/ab67616d0000b273f19310c007c0fad365b0542e,Primavera
69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987,93,G#,Major,79,58,62,11,0,11,23,https://i.scdn.co/image/ab67616d0000b273ea97d86f1fa8532cd8c75188,Primavera
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040,91,G,Major,82,47,62,10,0,10,15,Not Found,Primavera
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833,142,A#,Minor,82,54,44,6,0,33,7,https://i.scdn.co/image/ab67616d0000b273cace8a4b2ff924c9e12e3a96,Primavera
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,0,57089066,126,C#,Major,78,20,70,1,0,16,4,Not Found,Primavera
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797,97,A#,Major,73,10,44,26,0,16,8,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,Oto�o
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689,101,F,Major,92,59,51,41,51,26,8,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,Primavera
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053,98,G,Minor,80,23,48,14,0,6,5,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,Primavera
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328,154,F#,Major,59,63,89,18,0,80,9,https://i.scdn.co/image/ab67616d0000b2735559a80512e3986640b0140d,Invierno
Cupido,Tini,1,2023,2,14,1240,24,217672943,120,A,Major,91,63,58,52,0,31,22,https://i.scdn.co/image/ab67616d0000b273f5409c637b9a7244e0c0d11d,Invierno
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829,150,B,Major,49,4,55,7,0,6,3,https://i.scdn.co/image/ab67616d0000b273438799bc344744c12028bb0f,Oto�o
Unstoppable,Sia,1,2016,1,21,7681,13,939844851,174,A,Major,47,27,78,11,0,10,8,https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837,Invierno
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358,202,A#,Major,34,25,51,69,0,18,4,https://i.scdn.co/image/ab67616d0000b2732bf0876d42b90a8852ad6244,Verano
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020,153,B,Minor,56,42,52,5,0,36,24,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,Oto�o
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294,142,F,Major,60,13,37,58,0,13,3,https://i.scdn.co/image/ab67616d0000b27350dba34377a595e35f81b0e4,Oto�o
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339,108,A,Minor,84,55,47,26,0,20,64,Not Found,Primavera
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653,143,B,Major,83,25,69,4,0,23,12,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,Primavera
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,2,145458418,108,D,Major,67,55,67,60,0,80,5,Not Found,Invierno
The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568,104,F,Minor,95,78,66,3,0,4,6,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,Invierno
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117,93,F#,Minor,84,96,79,43,0,18,11,Not Found,Oto�o
The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686,105,F#,Minor,65,46,53,16,0,9,5,https://i.scdn.co/image/ab67616d0000b2730c5f23cbf0b1ab7e37d0dc67,Oto�o
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741,170,G#,Major,44,27,32,89,0,14,5,https://i.scdn.co/image/ab67616d0000b27308596cc28b9f5b00bfe08ae7,Primavera
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624,178,C#,Minor,62,56,66,18,0,12,5,Not Found,Primavera
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489,176,F#,Minor,50,44,76,10,0,32,5,https://i.scdn.co/image/ab67616d0000b273a0aea3805ed6a87aa394c796,Primavera
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115,104,E,Minor,80,38,88,11,0,11,5,Not Found,Primavera
Haegeum,Agust D,1,2023,4,21,244,12,118810253,85,G,Major,70,83,84,31,0,47,30,https://i.scdn.co/image/ab67616d0000b273fa9247b68471b82d2125651e,Primavera
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,4,77233241,117,F#,Minor,77,69,58,39,0,26,5,Not Found,Primavera
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907,98,F,Major,44,36,41,50,0,38,5,https://i.scdn.co/image/ab67616d0000b2737dda6cb97a57f116f6fbf0be,Primavera
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541,178,C#,Minor,79,58,78,34,0,11,25,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,Invierno
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992,148,A,Major,51,27,33,48,0,22,3,https://i.scdn.co/image/ab67616d0000b273d370fdc4dbc47778b9b667c3,Primavera
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964,120,D,Major,77,94,66,65,0,38,3,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb,Invierno
I AM,IVE,1,2023,4,10,366,15,123132751,122,E,Minor,68,38,88,1,0,8,5,https://i.scdn.co/image/ab67616d0000b27325ef3cec1eceefd4db2f91c8,Primavera
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,1,472,2,103762518,144,F,Major,74,75,73,42,0,9,4,Not Found,Invierno
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075,96,D,Major,93,47,47,33,0,10,36,https://i.scdn.co/image/ab67616d0000b273608e249e118a39e897f149ce,Invierno
Super,SEVENTEEN,1,2023,4,24,271,12,91221625,137,G#,Major,77,35,88,16,0,17,9,https://i.scdn.co/image/ab67616d0000b27380e31ba0c05187e6310ef264,Primavera
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915,121,F#,Minor,94,71,61,12,0,53,42,https://i.scdn.co/image/ab67616d0000b27349a4f6c9a637e02252a0076d,Primavera
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277,119,A,Minor,60,10,57,1,0,50,3,https://i.scdn.co/image/ab67616d0000b273c7d6fe09dfe4af1580e59705,Primavera
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616,96,D,Major,72,40,47,71,0,13,4,https://i.scdn.co/image/ab67616d0000b2738481d8f15859aa5bae75ee17,Verano
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467,111,C#,Major,87,53,52,66,1,11,5,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,Primavera
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946,148,A,Major,90,74,68,14,0,10,19,Not Found,Primavera
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338,182,A,Major,57,80,59,8,0,6,5,https://i.scdn.co/image/ab67616d0000b273aab35973ece2916fb24244fe,Invierno
Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087,141,D,Major,79,82,86,28,0,4,9,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,Verano
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978,145,E,Minor,76,80,81,19,0,6,9,Not Found,Invierno
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644,110,B,Minor,76,26,70,1,0,41,6,https://i.scdn.co/image/ab67616d0000b27346313223adf2b6d726388328,Primavera
Komang,Raim Laode,1,2022,8,16,158,4,137123880,134,G,Major,70,35,41,41,0,10,3,https://i.scdn.co/image/ab67616d0000b273f20ec6ba1f431a90dbf2e8b6,Verano
DESPECHï¿,ROSALï¿½,1,2022,7,28,7613,33,782369383,130,G,Major,92,78,62,18,0,6,10,Not Found,Verano
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952,145,A#,Major,84,88,53,35,0,8,7,https://i.scdn.co/image/ab67616d0000b2731a4f1ada93881da4ca8060ff,Oto�o
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255,130,B,Minor,69,36,90,1,10,15,4,Not Found,Invierno
Punto G,Quevedo,1,2022,11,4,1985,35,381161027,92,B,Minor,75,55,76,25,0,10,15,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0,Oto�o
Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982,105,F,Minor,56,57,87,0,1,10,4,https://i.scdn.co/image/ab67616d0000b273e1bc1af856b42dd7fdba9f84,Primavera
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552,175,G,Minor,59,15,64,43,90,12,10,https://i.scdn.co/image/ab67616d0000b273b852a616ae3a49a1f6b0f16e,Oto�o
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704,120,G,Minor,80,33,70,22,0,9,4,Not Found,Primavera
En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,198275403,139,D#,Minor,70,77,48,37,0,12,5,https://i.scdn.co/image/ab67616d0000b27354c372ef8e7b53bb3c932ac5,Invierno
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769,114,A#,Major,32,17,74,14,0,17,3,https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,Primavera
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215,145,B,Minor,54,19,48,36,0,37,5,Not Found,Primavera
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600,94,G#,Major,89,61,66,17,0,36,16,https://i.scdn.co/image/ab67616d0000b273ed132404686f567c8f793058,Invierno
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467,134,C#,Major,45,17,60,21,0,33,4,https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,Primavera
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354,120,G,Major,62,32,76,0,0,39,4,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,Primavera
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,4,90025258,123,G,Minor,70,86,68,24,0,11,4,Not Found,Invierno
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649,131,A#,Major,77,84,71,35,0,15,4,https://i.scdn.co/image/ab67616d0000b273ecd970d1d2623b6c7fc6080c,Oto�o
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958,171,D,Major,70,6,73,1,0,36,26,Not Found,Invierno
Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,655466831,130,E,Minor,80,64,76,2,0,20,6,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,Primavera
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671,94,B,Major,82,53,67,34,0,9,8,Not Found,Invierno
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024,89,G,Minor,73,44,57,39,0,32,6,Not Found,Primavera
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995,87,F,Minor,65,71,56,4,0,15,20,https://i.scdn.co/image/ab67616d0000b273adf20f92c3153248fd7aac9e,Invierno
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613,124,B,Minor,72,79,78,55,0,15,30,Not Found,Primavera
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350,78,G#,Major,71,80,65,51,0,22,32,https://i.scdn.co/image/ab67616d0000b273aa95a399fd30fbb4f6f59fca,Primavera
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,26,325592432,120,G#,Major,70,70,79,7,0,18,10,Not Found,Oto�o
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276,96,F#,Minor,48,50,80,40,0,37,20,Not Found,Primavera
HAPPY,NF,1,2023,3,25,660,0,52722996,106,G,Major,73,22,86,31,0,12,4,https://i.scdn.co/image/ab67616d0000b273ff8a4276b3be31c839557439,Primavera
La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597,170,D,Minor,78,75,46,62,0,12,35,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9,Invierno
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503,134,B,Minor,67,11,76,8,47,30,7,https://i.scdn.co/image/ab67616d0000b273efae10889cd442784f3acd3d,Primavera
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613,115,A#,Major,71,90,73,30,0,11,5,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,Primavera
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,993,4,267789608,130,F#,Major,74,79,87,45,0,30,3,Not Found,Oto�o
Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773,110,G,Major,59,22,38,42,0,12,3,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb,Primavera
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410,100,A,Major,72,42,66,18,4,19,4,https://i.scdn.co/image/ab67616d0000b2733c6c534cdacc9cf53e6d2977,Primavera
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601,142,G,Minor,70,76,79,26,0,11,7,Not Found,Invierno
